Run_RNA,Run_epi,BC_epi,BC_RNA,Exp,Plate,Well,FSC.A,FSC.W,FSC.H,SSC.A,SSC.W,SSC.H,CD29_Yel.Gr.C.610_20.A,EpCAM_Yel.Gr.A.780_60.A,Live_dead_Red.A.780_60.A,Lin_Violet.E.525_50.A,Sca1_Violet.C.670_30.A,Tspan8_UV.C.379_28.A,facs_phenotype,facs_phenotype_expanded
P108,N253,p2-K06-luminal-Sca1-neg-K4-F9739,P108T0183_luminal-Sca1-neg,exp4,p2,K06,162734.8906,100868.1797,105732,161623,104291.1875,101563,8259.942845,52611.33133,-378.3063146,1433.79769,841.5012274,827.4708603,luminal,luminal-Sca1-neg
P108,N253,p2-L06-basal-Tspan8-pos-K4-F9739,P108T0184_basal-Tspan8-pos,exp4,p2,L06,190212.125,101213.3672,123163,131848.2031,117150.7422,73758,54209.01413,14333.0957,18.46005616,108.3436837,587.0718692,3318.229013,basal,basal-Tspan8-pos
P108,N253,p2-A07-basal-Tspan8-neg-K27-F9689,P108T0185_basal-Tspan8-neg,exp4,p2,A07,97591.34375,80482.03125,79468,115778.3047,76863.39844,98716,56275.94061,2940.098909,40.0499954,15.72514572,35.69078419,-382.6947167,basal,basal-Tspan8-neg
P108,N253,p2-B07-basal-Tspan8-neg-K27-F9689,P108T0186_basal-Tspan8-neg,exp4,p2,B07,120661.5234,86249.21875,91684,155958,88752.05469,115162,61612.82036,4561.092229,97.50089249,1742.280752,219.7445775,563.4296594,basal,basal-Tspan8-neg
P108,N253,p2-C07-luminal-Sca1-neg-K27-F9689,P108T0187_luminal-Sca1-neg,exp4,p2,C07,58257.08203,82192.76563,46451,117617.5,79013.6875,97555,16140.67743,43820.56477,-167.8891532,169.2439394,-0.277991337,30091.56946,luminal,luminal-Sca1-neg
P108,N253,p2-D07-luminal-Sca1-neg-K27-F9689,P108T0188_luminal-Sca1-neg,exp4,p2,D07,29267.70117,84814.86719,22615,40008.10156,95320.13281,27507,9144.565226,34303.52303,-133.043465,-170.3207869,984.4806024,11641.39257,luminal,luminal-Sca1-neg
P108,N253,p2-E07-luminal-Sca1-pos-K27-F9689,P108T0189_luminal-Sca1-pos,exp4,p2,E07,234612.9844,104096.6563,147705,142043,105030.1875,88631,36705.91059,152201.474,239.0896452,-787.2060262,1790.926521,112919.2382,luminal,luminal-Sca1-pos
P108,N253,p2-F07-luminal-Sca1-pos-K27-F9689,P108T0190_luminal-Sca1-pos,exp4,p2,F07,195270.8906,114123.8047,112135,198869,122683.9063,106233,17596.3811,47035.28132,-75.36473531,348.4973272,7842.607743,16643.47849,luminal,luminal-Sca1-pos
P108,N253,p2-G07-basal-Tspan8-pos-K27-F9689,P108T0191_basal-Tspan8-pos,exp4,p2,G07,121429.8438,92553.49219,85983,217008,93068.14844,152811,26828.70737,4898.426479,461.4246092,325.0206794,149.4015508,42171.86458,basal,basal-Tspan8-pos
P108,N253,p2-H07-luminal-Sca1-pos-K27-F9739,P108T0192_luminal-Sca1-pos,exp4,p2,H07,111887.5859,81580.11719,89883,73738.5,87009.84375,55540,33054.02017,62747.90683,-188.4972519,-940.9004335,1868.558385,151908.7942,luminal,luminal-Sca1-pos
