"","FSC.A","FSC.H","FSC.W","BSC.A","BSC.H","BSC.W","DAPI","H2Db","HLA","Well","Annot","CB"
"2828",365683.5,108377.9,360,97077.99,27286.56,360,78.8838,356.9871,100.5372,NA,"not_sorted",NA
"2829",435932.7,143805.8,366,101270.5,31346.56,366,44.89515,73331.23,311.8404,NA,"not_sorted",NA
"2830",439143.6,129427.2,386,119022.3,35682.08,386,235.6425,60371.23,51.91761,NA,"not_sorted",NA
"2831",600369.3,138747.8,472,263721.8,66895.36,472,379.0533,343839.2,1945.288,NA,"not_sorted",NA
"2832",370936.9,123119.4,343,104694.9,32607.68,343,27.07751,75943.02,-508.7924,NA,"not_sorted",NA
"2833",396367.9,109121.6,388,153626.7,40197.92,388,-253.3416,28705.18,-1462.644,NA,"not_sorted",NA
"2834",728423.4,168889.3,510,218482.3,49761.6,510,120.3652,76796.44,-510.8172,NA,"not_sorted",NA
"2835",360138.2,104664,363,72761.73,21632.8,363,238.1339,6856.591,-347.3188,NA,"not_sorted",NA
"2836",317004,93808.96,341,73553.71,23488.64,341,54.96772,13941.33,-440.6204,NA,"not_sorted",NA
"2837",276144.6,98611.52,298,72028.02,23497.6,298,125.855,58926.26,443.618,NA,"not_sorted",NA
"2838",260032.3,93188.48,289,61371.11,22023.68,289,58.76114,61308.19,521.3649,NA,"not_sorted",NA
"2839",332315.5,100809,342,88563.06,28049.28,342,33.25906,2544.36,-34.84543,NA,"not_sorted",NA
"2840",487243.4,123117.1,423,103742.9,28529.76,423,170.4566,24609.33,-191.1534,NA,"not_sorted",NA
"2841",414131,108579.5,399,140358.7,33872.16,399,135.0244,3080.674,-108.6303,NA,"not_sorted",NA
"2842",510641.6,133696.6,432,184070.8,51416.96,432,77.13153,28707.81,2.431209,NA,"not_sorted",NA
"2843",312277.7,110355.8,315,92846.48,28575.68,315,60.27523,86673.47,566.4108,NA,"not_sorted",NA
"2844",509414.4,136194.2,421,92763.36,24942.4,421,136.602,378.2799,13.01248,NA,"not_sorted",NA
"2845",450779.6,101955.8,449,188235.9,39956,449,1955.894,20784.92,-181.1803,NA,"not_sorted",NA
"2846",352688.8,121217.6,333,63587.87,19266.24,333,152.457,70646.57,189.9651,NA,"not_sorted",NA
"2847",338313.8,80946.88,385,121498,34040.16,385,118.6477,342.875,68.5965,NA,"not_sorted",NA
"2848",537458.2,142985.9,433,139848.2,36794.24,433,128.1254,53767.25,-231.4357,NA,"not_sorted",NA
"2849",400742.3,111988.8,386,103802.3,28297.92,386,275.7254,732.3232,-0.7669311,NA,"not_sorted",NA
"2850",293342.9,103443.2,307,72732.82,24843.84,307,209.8498,30250.1,669.6335,NA,"not_sorted",NA
"2851",253573.1,84378.56,295,75993.88,26117.28,295,230.817,13298.89,-78.09954,NA,"not_sorted",NA
"2852",573691.5,137715.2,455,176540.1,43990.24,455,216.7754,27285.46,40.77797,NA,"not_sorted",NA
"2853",273060.7,92632.96,303,51638.71,17259.2,303,129.9705,97721.75,321.6759,NA,"not_sorted",NA
"2854",491824.6,135936.6,414,116097.7,32362.4,414,221.0845,325.6025,43.96413,NA,"not_sorted",NA
