Exp,Run_RNA,Run_epi,BC_RNA,plateform_code_rna,bio_name_rna,Well,BC_epi,Plate,Well,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,FITC-A,Tomato-A,APC-A,APC-Cy7-A,DAPI-A,Alexa Fluor 700-A,facs_phenotype
exp6,N248,N232,N248T0173_p1-Day0-BCP13-cell,T0173_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C07,C07,p1-Day0-BCP13-cell-K4-C07,p1,C07,30687.93164,85690.85156,23470,89086.74219,74998.25781,77847,10183.10588,354.0412622,295.8351362,938.9925182,840.979824,4722.58393,basal
exp6,N248,N232,N248T0174_p1-Day0-BCP13-cell,T0174_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C08,C08,p1-Day0-BCP13-cell-K4-C08,p1,C08,45702.01953,87916.16406,34068,66049.24219,85141.67969,50840,14834.41513,153.5982001,500.5409485,496.0568104,900.3623728,6477.27172,basal
exp6,N248,N232,N248T0175_p1-Day0-BCP13-cell,T0175_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C09,C09,p1-Day0-BCP13-cell-K4-C09,p1,C09,44505.37109,85131.89844,34261,39470.26953,87703.38281,29494,9977.225128,95.27595224,100.3885292,767.8479677,983.1304204,3469.081541,basal
exp6,N248,N232,N248T0176_p1-Day0-BCP13-cell,T0176_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C10,C10,p1-Day0-BCP13-cell-K4-C10,p1,C10,49311.08203,85025.54688,38008,51655.41016,91368.35938,37051,7988.190843,164.5058697,292.5397086,578.9166768,2305.70408,3099.099504,basal
exp6,N248,N232,N248T0177_p1-Day0-BCP13-cell,T0177_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C11,C11,p1-Day0-BCP13-cell-K4-C11,p1,C11,41377.70313,88552.04688,30623,29733.41016,95698.29688,20362,3903.287463,33.82826784,89.46536026,320.3367386,797.5835467,2587.339284,basal
exp6,N248,N232,N248T0178_p1-Day0-BCP13-cell,T0178_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-C12,C12,p1-Day0-BCP13-cell-K4-C12,p1,C12,45118.71094,87095.72656,33950,44149.55078,82800.625,34944,5998.351583,66.93149998,-31.83395082,752.6812447,809.5210989,4438.269021,basal
exp6,N248,N232,N248T0191_p1-Day0-BCP13-cell,T0191_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D01,D01,p1-Day0-BCP13-cell-K4-D01,p1,D01,33831.98047,78131.39063,28378,42616.95313,85034.09375,32845,7769.748771,27.42454808,-16.49899001,659.166344,629.2065412,2942.149065,basal
exp6,N248,N232,N248T0192_p1-Day0-BCP13-cell,T0192_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D02,D02,p1-Day0-BCP13-cell-K4-D02,p1,D02,41824.51172,83126.44531,32974,35167.35156,82796.64844,27836,8586.566207,60.67733801,154.0445702,1313.128884,608.7866992,5051.708682,basal
exp6,N248,N232,N248T0193_p1-Day0-BCP13-cell,T0193_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D03,D03,p1-Day0-BCP13-cell-K4-D03,p1,D03,37781.38281,90057.49219,27494,63554.40234,92898.4375,44835,5368.46038,95.11954085,82.05372695,1252.577646,693.9122406,5451.385749,basal
exp6,N248,N232,N248T0194_p1-Day0-BCP13-cell,T0194_p1-Day0-BCP13-cell,p1-Day0-BCP13-cell-K4-D04,D04,p1-Day0-BCP13-cell-K4-D04,p1,D04,42726.32031,81893.78125,34192,48073.20313,80842.82813,38971,3363.704785,50.30484058,148.3721076,580.1237655,1983.604442,2753.539791,basal
