Type	Gene
Luminal H-S	Cd82
Luminal H-S	Abcc8
Luminal H-S	Tgm2
Luminal H-S	Rbm20
Luminal H-S	Proc
Luminal H-S	Tbx3
Luminal H-S	Ang4
Luminal H-S	Slc35f3
Luminal H-S	R3hdml
Luminal H-S	Rasef
Luminal H-S	Nipal1
Luminal H-S	Anxa3
Luminal H-S	Sptlc3
Luminal H-S	Ang5
Luminal H-S	Phactr4
Luminal H-S	G3bp2
Luminal H-S	Arl6ip1
Luminal H-S	Chmp5
Luminal H-S	Rev3l
Luminal H-S	Ccdc162
Luminal H-S	Atp6v1g1
Luminal H-S	Myl12b
Luminal H-S	Sort1
Luminal H-S	Nectin4
Luminal H-S	Svil
Luminal H-S	Fam174b
Luminal H-S	Vsig10
Luminal H-S	Sox9
Luminal H-S	Crip1
Luminal H-S	Cntnap2
Luminal H-S	Anxa4
Luminal H-S	Trp53inp2
Luminal H-S	Prss22
Luminal H-S	Naxd
Luminal H-S	Rnh1
Luminal H-S	Grina
Luminal H-S	Qsox1
Luminal H-S	Sgms2
Luminal H-S	Tap2
Luminal H-S	Tmed3
Luminal H-S	Dhrs3
Luminal H-S	Prdx6
Luminal H-S	Plekhg3
Luminal H-S	H2-D1
Luminal H-S	Tspan9
Luminal H-S	Myh14
Luminal H-S	Nckap5
Luminal H-S	B3gnt2
Luminal H-S	Sorl1
Luminal H-S	Rassf6
Luminal H-S	Fgg
Luminal H-S	Guk1
Luminal H-S	Slc5a6
Luminal H-S	Lama5
Luminal H-S	Nck2
Luminal H-S	Wnt7b
Luminal H-S	Tspo
Luminal H-S	Pon2
Luminal H-S	Rac1
Luminal H-S	Dcn
Luminal H-S	Tle5
Luminal H-S	Hdac11
Luminal H-S	Smagp
Luminal H-S	Tox2
Luminal H-S	Tmem134
Luminal H-S	Tmem205
Luminal H-S	Il18r1
Luminal H-S	Meis1
Luminal H-S	Ptpn1
Luminal H-S	Trps1
Luminal H-S	Hes1
Luminal H-S	Hap1
Luminal H-S	Klf3
Luminal H-S	Atp6v1d
Luminal H-S	Fam210b
Luminal H-S	Emp1
Luminal H-S	Dkkl1
Luminal H-S	Ctr9
Luminal H-S	Zbtb8a
Luminal H-S	Ndufb1-ps
Luminal H-S	Cox17
Luminal H-S	Plec
Luminal H-S	Anxa1
Luminal H-S	Gle1
Luminal H-S	Mpzl3
Luminal H-S	Hp
Luminal H-S	Eml2
Luminal H-S	Prr15l
Luminal H-S	Tmem176a
Luminal H-S	Plcb4
Luminal H-S	G6pdx
Luminal H-S	Sult2b1
Luminal H-S	Pdlim2
Luminal H-S	Dgat2
